id,score_date,csat_score,csat_response_rate,nps_score,nps_score_all_time,avg_nps_rating,avg_nps_rating_all_time,outreach_call_90dayflag,num_low_sev_outages,num_high_sev_outages,months_since_high_sev_outage,num_tickets_deflected,max_tickets_per_agent
JMAN_2450157,2023-01-13,0,0,0.0,0.0,0.0,0.0,0,9,0,10.0,0,0
JMAN_9027650,2023-01-13,0,0,100.0,100.0,10.0,10.0,0,5,0,10.0,0,0
JMAN_9041676,2023-03-17,0,0,0.0,0.0,0.0,0.0,0,11,0,6.0,0,0
JMAN_9014565,2023-03-31,0,0,0.0,0.0,0.0,0.0,0,7,0,12.0,0,0
JMAN_9036481,2023-02-24,0,0,0.0,100.0,0.0,9.0,0,0,0,20.0,0,84
JMAN_9028070,2023-03-24,0,0,0.0,0.0,0.0,0.0,0,0,0,12.0,0,0
JMAN_2476152,2023-03-31,0,0,0.0,0.0,0.0,0.0,0,5,0,1.0,0,97
JMAN_18057083,2023-02-03,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_9035528,2023-02-03,0,0,0.0,0.0,0.0,0.0,0,10,0,11.0,0,110
JMAN_2453581,2023-03-03,0,0,0.0,0.0,0.0,0.0,0,10,0,6.0,0,67
JMAN_2473799,2023-03-31,0,0,0.0,0.0,0.0,0.0,0,11,0,6.0,0,32
JMAN_2468805,2023-03-03,0,0,0.0,0.0,0.0,0.0,0,18,1,1.0,0,4
JMAN_2474070,2023-01-20,0,0,0.0,0.0,0.0,0.0,0,7,0,4.0,0,1
JMAN_11201598,2023-03-24,0,0,0.0,0.0,0.0,0.0,0,8,1,0.0,0,32
JMAN_2379983,2023-02-17,0,0,0.0,0.0,0.0,0.0,0,0,0,14.0,0,0
JMAN_2457132,2023-02-03,0,0,0.0,0.0,0.0,0.0,0,10,0,11.0,6,1213
JMAN_18409956,2023-01-06,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_18149360,2023-01-20,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_18149360,2023-01-13,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_17630843,2023-03-24,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0
JMAN_9079368,2023-03-31,0,0,0.0,0.0,0.0,0.0,0,11,0,6.0,0,333
JMAN_10592358,2023-03-10,100,20,0.0,0.0,0.0,0.0,0,10,0,2.0,0,124
JMAN_9034089,2023-03-10,0,0,0.0,0.0,0.0,0.0,0,8,0,6.0,0,21
